ReviewID,CustomerID,Age,Gender,Location,Date,Brand,Product,ProductID,Rating,ReviewCategory,ReviewText,Cuisine,HealthPref,PriceSensitivity,WouldRecommend,SentimentLabel,SentimentScore,Polarity,Subjectivity,HelpfulUpvotes,HelpfulDownvotes
RU000053,yhqr5cpk5i27,55,M,Varanasi,2024-05-04,SpiceHub,Rajma Chawal,PID00442,3,Packaging,"Could sturdier. be It functional nothing was noteworthy. average, but",Indian,None,High,Yes,Neutral,0.0,-0.15,0.4,2,9
RU000054,asrxkj3yqqvw,38,M,Varanasi,2024-05-04,TasteLane,Chili Chicken,PID00010,5,Value for Money,this pay would happily Superb again. value—I,Chinese,Gluten-Free,Low,No,Positive,1.0,1.0,1.0,18,1
RU000055,zamkygvwoplo,24,M,Guwahati,2024-05-04,TasteLane,Dim Sum,PID00080,4,Hygiene,fresh clean. were food surfaces the looked The and,Chinese,Non-Veg,Medium,Yes,Positive,0.5,0.33,0.6,14,4
RU000056,bpp6q5oznfmr,43,M,Vijayawada,2024-05-04,TandooriTrail,Dal Makhani,PID00475,4,Portion Size,"very satisfying. highly filling Just and size, the right",Indian,Gluten-Free,Medium,Yes,Positive,0.5,0.37,0.69,8,2
RU000057,ce0dtfi67mv2,49,F,Hubli,2024-05-04,MasalaMagic,Aloo Paratha,PID00293,4,Taste,"almost and was a perfect, missing little It flavorful just something.",Indian,None,Low,No,Positive,0.5,0.2,0.52,6,7
RU000058,hghueq5u62ji,59,M,Salem,2024-05-04,TasteLane,Stir Fry Veggies,PID00505,4,Packaging,standard concerns. very no good major packaging; of A,Chinese,Gluten-Free,Medium,No,Positive,0.5,-0.13,0.43,3,1
RU000059,e4ylip4he6k3,21,M,Trivandrum,2024-05-05,FreshBite,Meatloaf,PID00337,2,Hygiene,uneasy. with made happy Not the slightly cleanliness; it me,Continental,Vegetarian,Low,Yes,Negative,-0.5,0.32,0.58,19,10
RU000060,t7cyx97i98uf,47,M,Vijayawada,2024-05-05,FiestaGrill,Mexican Rice,PID00085,3,Packaging,"flimsy. the Held up felt container a okay, little but",Mexican,Vegetarian,High,No,Neutral,0.0,0.16,0.5,5,10
RU000061,vfdzwpwsdwvg,54,M,Jamshedpur,2024-05-05,TasteLane,Schezwan Rice,PID00158,4,Value for Money,price by was experience. The the justified,Chinese,Gluten-Free,High,No,Positive,0.5,0.4,0.9,17,2
RU000062,hjxnsj0r1qzk,45,F,Coimbatore,2024-05-05,SpiceHub,Chicken Biryani,PID00042,4,Hygiene,"Very issues. of cleanliness, level good no visible",Indian,Non-Veg,Low,No,Positive,0.5,0.45,0.45,3,3
RU000063,qbza4e2qscfv,18,M,Aurangabad,2024-05-05,TasteLane,Stir Fry Veggies,PID00505,1,Delivery,ruined Unreliable my meal service; planning.,Chinese,Vegetarian,Medium,No,Negative,-1.0,0.0,0.0,17,2
RU000064,o23r0grpb05e,34,F,Kolkata,2024-05-05,SpiceHub,Dal Makhani,PID00194,2,Value for Money,paid the for too like experience. much I Felt,Indian,Vegan,Medium,Yes,Negative,-0.5,0.2,0.2,16,6
RU000065,ykfo7iqxbs00,20,Other,Lucknow,2024-05-05,NoodleNest,Hot and Sour Soup,PID00411,2,Packaging,spillage wasn't minor Packaging leakage or good—some noticed.,Chinese,Non-Veg,Medium,No,Negative,-0.5,-0.05,0.2,8,9
RU000066,fb8cx9xscnkl,24,F,Bangalore,2024-05-05,UrbanTadka,Masala Dosa,PID00241,4,Temperature,the heat maintained was transit. during well Good handling;,Indian,Vegan,High,No,Positive,0.5,0.7,0.6,0,1
RU000067,zt4pgjm00ial,50,Other,Nagpur,2024-05-05,FiestaGrill,Tostadas,PID00046,2,Packaging,packed poorly. The hot cold items were and together,Mexican,None,High,No,Negative,-0.5,-0.25,0.82,7,10
RU000068,2t9hn7y53e9a,19,Other,Tirunelveli,2024-05-05,SpiceHub,Aloo Paratha,PID00116,1,Temperature,Completely ruined the dish. warm); melted/too cold (or,Indian,Non-Veg,High,Yes,Negative,-1.0,0.03,0.67,6,8
RU000069,2a84n1w3er70,55,F,Kochi,2024-05-05,CurryCraft,Masala Dosa,PID00301,3,Packaging,"had eating. I before rearrange Acceptable, but the to food",Indian,None,High,No,Neutral,0.0,0.0,0.0,21,3
RU000070,knfu84xyjoa2,18,M,Nashik,2024-05-05,SpiceHub,Chole Bhature,PID00154,3,Value for Money,Price standard. higher of was on the end,Indian,Vegetarian,Medium,No,Neutral,0.0,0.12,0.25,18,1
RU000071,qrg7w0yyu6rf,47,M,Thrissur,2024-05-05,VeganVibes,Chicken Pot Pie,PID00369,1,Delivery,The cold. cancelled/missed delivery or was completely arrived,Continental,Vegan,High,Yes,Negative,-1.0,-0.25,0.7,5,5
RU000072,28kg2iic23os,55,M,Agra,2024-05-05,PastaPalace,Focaccia,PID00340,3,Taste,"otherwise seasoning, use was decent could but It and edible. more",Italian,Non-Veg,High,No,Neutral,0.0,0.33,0.58,18,6
RU000073,7wcdlqdz1ggl,22,F,Rajkot,2024-05-06,FoodAdda,Green Curry,PID00413,2,Customer Service,The disinterested staff distracted. or seemed,Thai,Vegan,High,No,Negative,-0.5,0.0,0.0,5,2
RU000074,gmefg9o9ih4o,34,F,Ludhiana,2024-05-06,VeganVibes,French Fries,PID00179,4,Hygiene,here. safe Hygienic fresh-looking; and felt eating,Continental,None,High,Yes,Positive,0.5,0.5,0.5,16,5
RU000075,mbeue9jqadk6,34,M,Shimla,2024-05-06,BiryaniBox,Paneer Butter Masala,PID00321,3,Packaging,"but the okay, Held container felt up a little flimsy.",Indian,Gluten-Free,High,No,Neutral,0.0,0.16,0.5,10,2
RU000076,oug6toeu8s1c,27,Other,Vijayawada,2024-05-06,BiryaniBox,Kofta Curry,PID00020,1,Delivery,Unreliable meal my ruined planning. service;,Indian,Vegan,Low,No,Negative,-1.0,0.0,0.0,0,1
RU000077,nk3yvwlhb8os,28,F,Vizag,2024-05-06,UrbanTadka,Chole Bhature,PID00266,1,Hygiene,Zero effort cleanliness put basic into protocols.,Indian,Vegan,Low,No,Negative,-1.0,0.0,0.12,12,5
RU000078,2rrt7swfannc,27,M,Gwalior,2024-05-06,TasteLane,Schezwan Rice,PID00158,3,Packaging,"had but eating. before Acceptable, rearrange I the to food",Chinese,Non-Veg,Medium,Yes,Neutral,0.0,0.0,0.0,15,1
RU000079,dn1mxf1pi2oo,47,F,Coimbatore,2024-05-06,WrapNation,Tostadas,PID00120,3,Portion Size,size—met Standard expectations. commercial,Mexican,None,Low,Yes,Neutral,0.0,0.0,0.0,12,0
RU000080,xqmia5vqc5hz,23,M,Lucknow,2024-05-06,PastaPalace,Lasagna,PID00133,2,Portion Size,have been satisfying. truly Could bigger be to,Italian,Non-Veg,High,Yes,Negative,-0.5,0.25,0.75,22,5
RU000081,aas8o0c13pqz,37,M,Erode,2024-05-06,WokWay,Crispy Noodles,PID00018,3,Taste,didn't the Perfectly it average; palate. filled the but excite need,Chinese,Vegan,High,Yes,Neutral,0.0,0.12,0.65,14,5
RU000082,cyj8wbvo7dhl,46,M,Thrissur,2024-05-06,VeganVibes,Club Sandwich,PID00062,1,Taste,this. recommend absolutely taste—would Really disappointing not,Continental,Vegan,High,No,Negative,-1.0,-0.2,0.8,16,10
RU000083,dxam7wicfmnl,56,M,Agra,2024-05-06,FreshBite,Chicken Pot Pie,PID00289,1,Value for Money,the meal. this for regret much I paying,Continental,Non-Veg,Medium,Yes,Negative,-1.0,0.2,0.2,25,3
RU000084,n1zexx4lgxlz,23,Other,Jaipur,2024-05-06,NoodleNest,Wonton Soup,PID00303,5,Packaging,"everything kept Excellent, perfectly packaging spill-proof secure. that",Chinese,Gluten-Free,Low,Yes,Positive,1.0,0.8,0.87,20,10
RU000085,udcr7vqffzl6,23,F,Ahmedabad,2024-05-06,FiestaGrill,Burrito Bowl,PID01015,2,Temperature,enough. cold items not were The chilled,Mexican,Vegetarian,Medium,Yes,Negative,-0.5,-0.3,0.75,24,6
RU000086,alu6qgcbjjui,24,F,Vellore,2024-05-06,BiryaniBox,Chole Bhature,PID00206,3,Value for Money,"A the still bit but acceptable expensive, for quality.",Indian,Vegan,Low,No,Neutral,0.0,-0.5,0.7,24,4
RU000087,zrx1raexupfj,39,F,Mumbai,2024-05-06,FiestaGrill,Nachos,PID00175,5,Taste,amazing ingredient tasted fresh Every to the profile. contributed perfectly and,Mexican,Vegetarian,High,No,Positive,1.0,0.63,0.8,19,10
RU000088,bfnxrl47vz0p,19,F,Varanasi,2024-05-06,PastaPalace,Bruschetta,PID00203,4,Packaging,"no intact at Well packed, issues with arrived all.",Italian,None,Medium,No,Positive,0.5,0.0,0.0,15,5
RU000089,0h4w59msnmtb,46,F,Jaipur,2024-05-06,NoodleNest,Sweet Corn Soup,PID00275,2,Delivery,wait after estimate. Poor coordination; timing long the to too had,Chinese,Vegetarian,Low,Yes,Negative,-0.5,-0.23,0.5,5,4
RU000090,x4xvqbzbrqw5,32,M,Indore,2024-05-07,WokWay,Crispy Noodles,PID00018,1,Delivery,cancelled/missed cold. or The arrived completely was delivery,Chinese,Gluten-Free,Medium,Yes,Negative,-1.0,-0.25,0.7,14,10
RU000091,qi67kt54hxay,40,Other,Trichy,2024-05-07,FreshBite,Grilled Chicken,PID00071,1,Delivery,(over Extremely hour)—a delayed an experience. terrible,Continental,None,Medium,Yes,Negative,-1.0,-0.56,1.0,1,0
RU000092,zdlx6pc67vm6,54,M,Jodhpur,2024-05-07,PastaPalace,Caprese Salad,PID00680,4,Taste,was dish The executed. seasoning spot-on well was and very the,Italian,None,Medium,Yes,Positive,0.5,0.2,0.3,6,0
RU000093,mov5f9484qij,29,F,Amritsar,2024-05-07,WokWay,Fried Rice,PID00208,4,Value for Money,priced complaints correctly. the about No cost;,Chinese,Vegan,High,Yes,Positive,0.5,0.0,0.0,13,2
RU000094,xcgw1vgll42j,41,Other,Amritsar,2024-05-07,FreshBite,Chicken Pot Pie,PID00289,3,Temperature,"felt a Standard minute. like sat for temperature, but it",Continental,Vegetarian,High,No,Neutral,0.0,0.0,0.0,13,7
RU000095,y6h9waviat22,32,M,Vellore,2024-05-07,MasalaMagic,Masala Dosa,PID00269,5,Temperature,freshly food was heated/chilled. be the Couldn't better;,Indian,Gluten-Free,Medium,No,Positive,1.0,0.4,0.5,23,4
RU000096,terlj3oip1ux,60,F,Patna,2024-05-07,CurryCraft,Tandoori Chicken,PID00420,1,Portion Size,amount unacceptable of Extremely tiny food; value.,Indian,None,Medium,Yes,Negative,-1.0,0.0,0.5,8,3
RU000097,6kn0q48gcnub,34,Other,Mysore,2024-05-07,VeganVibes,Omelette,PID00016,4,Value for Money,Good reasonably priced for the and quality value; portion.,Continental,Non-Veg,Low,No,Positive,0.5,0.45,0.6,24,4
RU000098,9y9b1yp4bg4w,31,Other,Surat,2024-05-07,SpiceHub,Chicken Biryani,PID00042,4,Value for Money,the about No correctly. complaints cost; priced,Indian,Non-Veg,High,No,Positive,0.5,0.0,0.0,22,7
RU000099,naauehs2udq6,52,M,Nashik,2024-05-07,TasteLane,Gobi Manchurian,PID00558,1,Delivery,meal ruined service; planning. Unreliable my,Chinese,Gluten-Free,Medium,No,Negative,-1.0,0.0,0.0,1,2
RU000100,uvzu078w3r6u,33,M,Mysore,2024-05-07,WrapNation,Tamales,PID00287,2,Hygiene,or questionable dirt unhygienic; I some Seemed noticed areas.,Mexican,Vegan,Low,No,Negative,-0.5,-0.5,1.0,8,6
RU000101,ybor9mm201ld,18,F,Guwahati,2024-05-07,WrapNation,Quesadilla,PID00718,3,Packaging,"It average, Could noteworthy. was functional but sturdier. nothing be",Mexican,Non-Veg,Low,Yes,Neutral,0.0,-0.15,0.4,16,4
RU000102,gflyrj8gosd3,40,M,Nashik,2024-05-07,WrapNation,Fajitas,PID00055,5,Value for Money,I've deal food. for found type this of Best,Mexican,Vegetarian,Medium,Yes,Positive,1.0,1.0,0.3,13,4
RU000103,pk5s3vkxsnpc,60,Other,Mysore,2024-05-07,FreshBite,Caesar Salad,PID00032,1,Value for Money,what for it was; terrible value. expensive Extremely,Continental,Gluten-Free,Medium,Yes,Negative,-1.0,-0.54,0.9,13,7
RU000104,vb9zxvth4oqs,48,F,Tirunelveli,2024-05-07,VeganVibes,French Fries,PID00179,5,Customer Service,"friendly, were super courteous, helpful—true and professionals. Staff",Continental,Vegetarian,Medium,Yes,Positive,1.0,0.44,0.72,5,9
RU000105,t3q13hu56b6o,43,M,Kolkata,2024-05-08,FoodAdda,Crispy Tofu,PID00244,4,Temperature,"warm; very only temperature Arrived a drop. minor, acceptable",Thai,Vegetarian,Low,No,Positive,0.5,0.18,0.6,11,0
RU000106,gvvzq6imeuqj,31,M,Bhopal,2024-05-08,TasteLane,Tofu Chili,PID00283,2,Customer Service,disinterested The distracted. seemed or staff,Chinese,Vegetarian,Medium,Yes,Negative,-0.5,0.0,0.0,23,10
RU000107,skj3j7bt42zr,51,F,Jamshedpur,2024-05-08,WrapNation,Refried Beans,PID00357,4,Hygiene,eating felt Hygienic safe here. and fresh-looking;,Mexican,Vegan,Low,Yes,Positive,0.5,0.5,0.5,16,7
RU000108,s3xir66arayq,59,M,Jodhpur,2024-05-08,TasteLane,Schezwan Rice,PID00158,4,Value for Money,a Solid felt trade-off. purchase; like fair,Chinese,None,Low,Yes,Positive,0.5,0.35,0.5,20,0
RU000109,82oxlmyqs8cg,19,F,Jamshedpur,2024-05-08,FreshBite,Meatloaf,PID00337,5,Packaging,great; high-quality still was clearly packaging. The and presentation professional,Continental,Non-Veg,Low,Yes,Positive,1.0,0.33,0.41,9,10
RU000110,zv1v8pdewd6l,52,F,Mysore,2024-05-08,BiryaniBox,Kofta Curry,PID00020,4,Temperature,Good the during was maintained heat well transit. handling;,Indian,Vegetarian,Low,Yes,Positive,0.5,0.7,0.6,0,0
RU000111,7fcz7sh630lu,21,M,Patna,2024-05-08,WokWay,Dim Sum,PID00156,3,Value for Money,"acceptable the still for quality. expensive, bit but A",Chinese,Non-Veg,High,Yes,Neutral,0.0,-0.5,0.7,0,0
RU000112,fuv7qkkcj0ff,26,F,Udaipur,2024-05-08,PastaPalace,Caprese Salad,PID00680,5,Packaging,leak-proof contents. perfectly designed and for the Totally,Italian,Non-Veg,Medium,Yes,Positive,1.0,0.5,0.88,7,4
RU000113,2f73hhp8qnlj,35,F,Chennai,2024-05-08,FoodAdda,Mango Sticky Rice,PID00192,1,Delivery,Extremely terrible an hour)—a experience. (over delayed,Thai,Non-Veg,Medium,No,Negative,-1.0,-1.0,1.0,12,1
RU000114,edhnnydz8gpr,54,Other,Kolkata,2024-05-08,VeganVibes,Club Sandwich,PID00062,5,Hygiene,"very and trustworthy. safe, Clean, completely hygienic—felt",Continental,None,Medium,No,Positive,1.0,0.29,0.47,14,1
RU000115,lpnxbcekrxgt,19,F,Lucknow,2024-05-08,PastaPalace,Pasta Alfredo,PID00299,2,Packaging,cold packed The were hot items poorly. and together,Italian,None,High,No,Negative,-0.5,-0.25,0.82,25,6
RU000116,6iciej2w6i0q,45,F,Varanasi,2024-05-08,NoodleNest,Wonton Soup,PID00303,2,Delivery,the was was and significantly Delivery lukewarm. delayed food,Chinese,Gluten-Free,High,Yes,Negative,-0.5,0.38,0.88,4,5
RU000117,5zz679aqlo36,35,F,Madurai,2024-05-08,UrbanTadka,Chicken Curry,PID00603,4,Value for Money,Solid fair trade-off. like purchase; a felt,Indian,Non-Veg,High,Yes,Positive,0.5,0.35,0.5,5,6
